,,Deaths,Deaths,Deaths,Deaths,Deaths,Deaths,Deaths,Deaths,Deaths,Deaths,Deaths,Deaths
Age_Groups,,1-4 years,15-24 years,25-34 years,35-44 years,45-54 years,5-14 years,55-64 years,65-74 years,75-84 years,85+ years,< 1 year,Not Stated
State,Year,,,,,,,,,,,,
Florida,2006.0,328.0,2297.0,2869.0,5613.0,12204.0,367.0,18624.0,27018.0,48377.0,50641.0,1717.0,11.0
Florida,2007.0,313.0,2327.0,2925.0,5289.0,12324.0,349.0,18686.0,26745.0,46791.0,50652.0,1685.0,10.0
Florida,2008.0,304.0,2230.0,2909.0,5166.0,12476.0,273.0,19147.0,27483.0,46128.0,52910.0,1669.0,
Florida,2009.0,285.0,1966.0,2842.0,4925.0,12329.0,294.0,19755.0,27814.0,45427.0,52757.0,1522.0,
Florida,2010.0,282.0,1809.0,2835.0,4494.0,12001.0,282.0,20528.0,28600.0,45525.0,56025.0,1403.0,
Florida,2011.0,273.0,1716.0,2755.0,4329.0,12095.0,294.0,20867.0,29092.0,45191.0,55985.0,1375.0,
Florida,2012.0,244.0,1685.0,2688.0,4275.0,11748.0,278.0,21641.0,30053.0,44744.0,58635.0,1290.0,10.0
Florida,2013.0,254.0,1602.0,2660.0,4207.0,11431.0,302.0,22147.0,31815.0,45291.0,60067.0,1326.0,10.0
Florida,2014.0,258.0,1713.0,2869.0,4331.0,11315.0,293.0,23117.0,33151.0,46122.0,61447.0,1333.0,
Florida,2015.0,264.0,1943.0,3214.0,4555.0,11415.0,300.0,23899.0,34964.0,46456.0,63317.0,1400.0,10.0
Florida,2016.0,246.0,2031.0,4001.0,5177.0,11805.0,317.0,24762.0,36523.0,47180.0,63876.0,1381.0,14.0
Florida,2017.0,282.0,1970.0,4100.0,5197.0,11503.0,328.0,25591.0,37907.0,49364.0,66022.0,1358.0,14.0
Florida,2018.0,246.0,1862.0,3921.0,5357.0,11015.0,300.0,25901.0,39043.0,50628.0,65812.0,1332.0,
Georgia,1999.0,171.0,1018.0,1510.0,3054.0,5107.0,286.0,7609.0,12137.0,16341.0,13749.0,1040.0,
Georgia,2000.0,178.0,1100.0,1530.0,3109.0,5424.0,250.0,7705.0,12226.0,16979.0,14239.0,1126.0,
Georgia,2001.0,215.0,1141.0,1511.0,3254.0,5673.0,246.0,7905.0,12066.0,16814.0,14502.0,1146.0,12.0
Georgia,2002.0,179.0,1050.0,1497.0,3268.0,5904.0,230.0,8348.0,11790.0,17373.0,14615.0,1192.0,
Georgia,2003.0,162.0,1105.0,1567.0,3256.0,6010.0,252.0,8759.0,11974.0,17156.0,15085.0,1151.0,
Georgia,2004.0,189.0,1086.0,1526.0,3099.0,6244.0,228.0,8899.0,11725.0,16878.0,14758.0,1181.0,
Georgia,2005.0,181.0,1121.0,1549.0,3053.0,6347.0,230.0,9223.0,11708.0,16764.0,15398.0,1159.0,
Georgia,2006.0,190.0,1185.0,1598.0,3013.0,6371.0,210.0,9600.0,11761.0,16735.0,15938.0,1206.0,
Georgia,2007.0,190.0,1249.0,1617.0,2994.0,6323.0,219.0,9584.0,11939.0,16418.0,16590.0,1206.0,
Georgia,2008.0,170.0,1179.0,1552.0,2754.0,6416.0,216.0,10008.0,12535.0,16963.0,16662.0,1182.0,
