Date as of,First week,Last week,State,County name,FIPS County Code,Deaths involving COVID-19,Deaths from All Causes
9/30/2020,2/1/2020,9/26/2020,AL,Marengo County,1091,16,167
9/30/2020,2/1/2020,9/26/2020,AR,Saline County,5125,13,599
9/30/2020,2/1/2020,9/26/2020,CA,Alameda County,6001,379,"7,246"
9/30/2020,2/1/2020,9/26/2020,CA,Contra Costa County,6013,193,"5,398"
9/30/2020,2/1/2020,9/26/2020,CA,Monterey County,6053,61,"1,836"
9/30/2020,2/1/2020,9/26/2020,CA,Placer County,6061,82,"2,633"
9/30/2020,2/1/2020,9/26/2020,CA,San Mateo County,6081,160,"3,154"
9/30/2020,2/1/2020,9/26/2020,CA,Sonoma County,6097,119,"2,930"
9/30/2020,2/1/2020,9/26/2020,CA,Yuba County,6115,14,525
9/30/2020,2/1/2020,9/26/2020,CO,Arapahoe County,8005,403,"3,336"
9/30/2020,2/1/2020,9/26/2020,CT,New Haven County,9009,"1,094","6,056"
9/30/2020,2/1/2020,9/26/2020,CT,Windham County,9015,12,552
9/30/2020,2/1/2020,9/26/2020,FL,Broward County,12011,"1,605","12,094"
9/30/2020,2/1/2020,9/26/2020,FL,Leon County,12073,203,"2,138"
9/30/2020,2/1/2020,9/26/2020,FL,Palm Beach County,12099,"1,290","11,959"
9/30/2020,2/1/2020,9/26/2020,FL,St. Johns County,12109,33,"1,176"
9/30/2020,2/1/2020,9/26/2020,FL,Volusia County,12127,277,"5,381"
9/30/2020,2/1/2020,9/26/2020,GA,Bacon County,13005,15,108
9/30/2020,2/1/2020,9/26/2020,GA,Bartow County,13015,55,691
9/30/2020,2/1/2020,9/26/2020,GA,Butts County,13035,20,173
9/30/2020,2/1/2020,9/26/2020,GA,Douglas County,13097,37,536
9/30/2020,2/1/2020,9/26/2020,GA,Fayette County,13113,91,781
9/30/2020,2/1/2020,9/26/2020,GA,Fulton County,13121,622,"6,261"
9/30/2020,2/1/2020,9/26/2020,GA,Muscogee County,13215,239,"1,984"
9/30/2020,2/1/2020,9/26/2020,GA,Pickens County,13227,11,255
9/30/2020,2/1/2020,9/26/2020,GA,Rockdale County,13247,39,517
9/30/2020,2/1/2020,9/26/2020,GA,Tattnall County,13267,10,116
9/30/2020,2/1/2020,9/26/2020,GA,Walton County,13297,44,571
9/30/2020,2/1/2020,9/26/2020,HI,Maui County,15009,15,779
9/30/2020,2/1/2020,9/26/2020,IA,Linn County,19113,104,"1,372"
9/30/2020,2/1/2020,9/26/2020,IA,Muscatine County,19139,41,243
9/30/2020,2/1/2020,9/26/2020,ID,Canyon County,16027,75,"1,036"
9/30/2020,2/1/2020,9/26/2020,IL,Kankakee County,17091,72,871
9/30/2020,2/1/2020,9/26/2020,IL,McLean County,17113,24,897
9/30/2020,2/1/2020,9/26/2020,IL,St. Clair County,17163,155,"1,849"
9/30/2020,2/1/2020,9/26/2020,IL,Winnebago County,17201,160,"2,330"
9/30/2020,2/1/2020,9/26/2020,IN,Bartholomew County,18005,76,619
9/30/2020,2/1/2020,9/26/2020,IN,Clinton County,18023,12,232
9/30/2020,2/1/2020,9/26/2020,IN,Decatur County,18031,26,193
9/30/2020,2/1/2020,9/26/2020,IN,Greene County,18055,30,178
9/30/2020,2/1/2020,9/26/2020,IN,Hendricks County,18063,149,"1,099"
9/30/2020,2/1/2020,9/26/2020,IN,Jackson County,18071,10,294
9/30/2020,2/1/2020,9/26/2020,IN,Monroe County,18105,57,928
9/30/2020,2/1/2020,9/26/2020,IN,Morgan County,18109,32,377
9/30/2020,2/1/2020,9/26/2020,KS,Lyon County,20111,25,183
9/30/2020,2/1/2020,9/26/2020,KY,Campbell County,21037,70,539
9/30/2020,2/1/2020,9/26/2020,KY,Christian County,21047,10,333
9/30/2020,2/1/2020,9/26/2020,KY,Fayette County,21067,87,"3,329"
9/30/2020,2/1/2020,9/26/2020,KY,Graves County,21083,34,281
9/30/2020,2/1/2020,9/26/2020,KY,Hardin County,21093,10,712
9/30/2020,2/1/2020,9/26/2020,KY,Hopkins County,21107,37,466
9/30/2020,2/1/2020,9/26/2020,KY,Jefferson County,21111,434,"7,024"
9/30/2020,2/1/2020,9/26/2020,KY,Warren County,21227,99,"1,082"
9/30/2020,2/1/2020,9/26/2020,LA,Allen Parish,22003,15,150
9/30/2020,2/1/2020,9/26/2020,LA,St. Tammany Parish,22103,255,"1,933"
9/30/2020,2/1/2020,9/26/2020,MA,Bristol County,25005,548,"3,724"
9/30/2020,2/1/2020,9/26/2020,MA,Hampshire County,25015,112,895
9/30/2020,2/1/2020,9/26/2020,MD,Charles County,24017,86,731
9/30/2020,2/1/2020,9/26/2020,MD,Frederick County,24021,131,"1,397"
9/30/2020,2/1/2020,9/26/2020,MD,Wicomico County,24045,68,992
9/30/2020,2/1/2020,9/26/2020,ME,Waldo County,23027,16,203
9/30/2020,2/1/2020,9/26/2020,MI,Jackson County,26075,84,"1,266"
9/30/2020,2/1/2020,9/26/2020,AL,Autauga County,1001,25,338
9/30/2020,2/1/2020,9/26/2020,AL,Baldwin County,1003,69,"1,427"
9/30/2020,2/1/2020,9/26/2020,AL,Crenshaw County,1041,24,143
9/30/2020,2/1/2020,9/26/2020,AL,Madison County,1089,131,"2,750"
9/30/2020,2/1/2020,9/26/2020,AR,Craighead County,5031,94,"1,381"
9/30/2020,2/1/2020,9/26/2020,AR,Newton County,5101,13,72
9/30/2020,2/1/2020,9/26/2020,AR,Union County,5139,36,364
